	word2vec-source=twitter dims=200 task=gender kernel=rbf gamma=0.001 C=10	word2vec-source=twitter dims=200 task=gender kernel=rbf gamma=0.001 C=1000	word2vec-source=twitter dims=200 task=gender kernel=rbf gamma=1 C=10	word2vec-source=twitter dims=200 task=gender kernel=rbf gamma=1 C=1000	word2vec-source=wiki-giga dims=200 task=gender kernel=rbf gamma=0.001 C=10	word2vec-source=wiki-giga dims=200 task=gender kernel=rbf gamma=0.001 C=1000	word2vec-source=wiki-giga dims=200 task=gender kernel=rbf gamma=1 C=10	word2vec-source=wiki-giga dims=200 task=gender kernel=rbf gamma=1 C=1000
word2vec-source=twitter dims=200 task=gender kernel=rbf gamma=0.001 C=10				0.0126111440993				
word2vec-source=twitter dims=200 task=gender kernel=rbf gamma=0.001 C=1000				0.0126111440993				
word2vec-source=twitter dims=200 task=gender kernel=rbf gamma=1 C=10				0.0126111440993				
word2vec-source=twitter dims=200 task=gender kernel=rbf gamma=1 C=1000	0.0126111440993	0.0126111440993	0.0126111440993		0.00728455700948	0.00728455700948	0.0126111440993	
word2vec-source=wiki-giga dims=200 task=gender kernel=rbf gamma=0.001 C=10				0.00728455700948				
word2vec-source=wiki-giga dims=200 task=gender kernel=rbf gamma=0.001 C=1000				0.00728455700948				
word2vec-source=wiki-giga dims=200 task=gender kernel=rbf gamma=1 C=10				0.0126111440993				
word2vec-source=wiki-giga dims=200 task=gender kernel=rbf gamma=1 C=1000								
