	word2vec-source=twitter dims=100 task=gender kernel=poly degree=1 C=0.1	word2vec-source=twitter dims=100 task=gender kernel=poly degree=1 C=10	word2vec-source=twitter dims=100 task=gender kernel=poly degree=1 C=1000	word2vec-source=twitter dims=100 task=gender kernel=poly degree=2 C=0.1	word2vec-source=twitter dims=100 task=gender kernel=poly degree=2 C=10	word2vec-source=twitter dims=100 task=gender kernel=poly degree=2 C=1000	word2vec-source=twitter dims=100 task=gender kernel=poly degree=3 C=0.1	word2vec-source=twitter dims=100 task=gender kernel=poly degree=3 C=10	word2vec-source=twitter dims=100 task=gender kernel=poly degree=3 C=1000	word2vec-source=wiki-giga dims=100 task=gender kernel=poly degree=1 C=0.1	word2vec-source=wiki-giga dims=100 task=gender kernel=poly degree=1 C=10	word2vec-source=wiki-giga dims=100 task=gender kernel=poly degree=1 C=1000	word2vec-source=wiki-giga dims=100 task=gender kernel=poly degree=2 C=0.1	word2vec-source=wiki-giga dims=100 task=gender kernel=poly degree=2 C=10	word2vec-source=wiki-giga dims=100 task=gender kernel=poly degree=2 C=1000	word2vec-source=wiki-giga dims=100 task=gender kernel=poly degree=3 C=0.1	word2vec-source=wiki-giga dims=100 task=gender kernel=poly degree=3 C=10	word2vec-source=wiki-giga dims=100 task=gender kernel=poly degree=3 C=1000
word2vec-source=twitter dims=100 task=gender kernel=poly degree=1 C=0.1						0.00910849639803									0.0451545696243			
word2vec-source=twitter dims=100 task=gender kernel=poly degree=1 C=10						0.00910849639803									0.0451545696243			
word2vec-source=twitter dims=100 task=gender kernel=poly degree=1 C=1000						0.0081509715935			0.0451545696243						0.0412500165939			
word2vec-source=twitter dims=100 task=gender kernel=poly degree=2 C=0.1						0.0081509715935			0.0342937210365						0.0342937210365			
word2vec-source=twitter dims=100 task=gender kernel=poly degree=2 C=10						0.0081509715935			0.0342937210365						0.0342937210365			
word2vec-source=twitter dims=100 task=gender kernel=poly degree=2 C=1000	0.00910849639803	0.00910849639803	0.0081509715935	0.0081509715935	0.0081509715935		0.0155644113866			0.00170624936892	0.00170624936892	0.00170624936892	0.00170624936892	0.00515895757072		0.00170624936892		
word2vec-source=twitter dims=100 task=gender kernel=poly degree=3 C=0.1						0.0155644113866			0.0376353137873									
word2vec-source=twitter dims=100 task=gender kernel=poly degree=3 C=10																		
word2vec-source=twitter dims=100 task=gender kernel=poly degree=3 C=1000			0.0451545696243	0.0342937210365	0.0342937210365		0.0376353137873			0.0412500165939	0.0412500165939	0.0412500165939	0.0412500165939	0.0342937210365		0.0412500165939		
word2vec-source=wiki-giga dims=100 task=gender kernel=poly degree=1 C=0.1						0.00170624936892			0.0412500165939						0.0191099222068			0.0172574560831
word2vec-source=wiki-giga dims=100 task=gender kernel=poly degree=1 C=10						0.00170624936892			0.0412500165939						0.0191099222068			0.0172574560831
word2vec-source=wiki-giga dims=100 task=gender kernel=poly degree=1 C=1000						0.00170624936892			0.0412500165939						0.0191099222068			0.0172574560831
word2vec-source=wiki-giga dims=100 task=gender kernel=poly degree=2 C=0.1						0.00170624936892			0.0412500165939						0.0191099222068			0.0172574560831
word2vec-source=wiki-giga dims=100 task=gender kernel=poly degree=2 C=10						0.00515895757072			0.0342937210365						0.0283655056052			0.0451545696243
word2vec-source=wiki-giga dims=100 task=gender kernel=poly degree=2 C=1000	0.0451545696243	0.0451545696243	0.0412500165939	0.0342937210365	0.0342937210365					0.0191099222068	0.0191099222068	0.0191099222068	0.0191099222068	0.0283655056052		0.0191099222068		
word2vec-source=wiki-giga dims=100 task=gender kernel=poly degree=3 C=0.1						0.00170624936892			0.0412500165939						0.0191099222068			0.0172574560831
word2vec-source=wiki-giga dims=100 task=gender kernel=poly degree=3 C=10																		
word2vec-source=wiki-giga dims=100 task=gender kernel=poly degree=3 C=1000										0.0172574560831	0.0172574560831	0.0172574560831	0.0172574560831	0.0451545696243		0.0172574560831		
